Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
init done
{'quantization.global_wb': 6, 'inp_mult': 120, 'nb_hidden': 2000, 'nb_steps': 150, 'batch_size': 128, 'quantization.global_lr': 0.0004, 'reg_size': 5e-05, 'p_drop': 0}
Epoch 1: loss=1809.28851
Test accuracy: 0.223
Train accuracy: 0.168
Epoch 2: loss=7.83306
Test accuracy: 0.246
Train accuracy: 0.383
Epoch 3: loss=10678176.03545
Test accuracy: 0.266
Train accuracy: 0.431
Epoch 4: loss=27388532090.84766
Test accuracy: 0.227
Train accuracy: 0.333
Epoch 5: loss=891.07280
Test accuracy: 0.230
Train accuracy: 0.427
Epoch 6: loss=1918148695167.33057
Test accuracy: 0.207
Train accuracy: 0.415
Epoch 7: loss=169029985748994.09375
Test accuracy: 0.203
Train accuracy: 0.308
Epoch 8: loss=1000439836073.14062
Test accuracy: 0.168
Train accuracy: 0.345
Epoch 9: loss=nan
Test accuracy: 0.082
Train accuracy: 0.215
Epoch 10: loss=nan
Test accuracy: 0.082
Train accuracy: 0.083
Epoch 11: loss=nan
Test accuracy: 0.082
Train accuracy: 0.083
Epoch 12: loss=nan
Test accuracy: 0.082
Train accuracy: 0.083
Epoch 13: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 14: loss=nan
Test accuracy: 0.090
Train accuracy: 0.082
Epoch 15: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 16: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 17: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 18: loss=nan
Test accuracy: 0.094
Train accuracy: 0.082
Epoch 19: loss=nan
Test accuracy: 0.082
Train accuracy: 0.082
Epoch 20: loss=nan
Test accuracy: 0.082
Train accuracy: 0.082
Epoch 21: loss=nan
Test accuracy: 0.082
Train accuracy: 0.083
Epoch 22: loss=nan
Test accuracy: 0.070
Train accuracy: 0.083
Epoch 23: loss=nan
Test accuracy: 0.074
Train accuracy: 0.082
Epoch 24: loss=nan
Test accuracy: 0.078
Train accuracy: 0.082
Epoch 25: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 26: loss=nan
Test accuracy: 0.078
Train accuracy: 0.082
Epoch 27: loss=nan
Test accuracy: 0.074
Train accuracy: 0.084
Epoch 28: loss=nan
Test accuracy: 0.094
Train accuracy: 0.082
Epoch 29: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 30: loss=nan
Test accuracy: 0.074
Train accuracy: 0.084
Epoch 31: loss=nan
Test accuracy: 0.074
Train accuracy: 0.082
Epoch 32: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 33: loss=nan
Test accuracy: 0.090
Train accuracy: 0.082
Epoch 34: loss=nan
Test accuracy: 0.078
Train accuracy: 0.082
Epoch 35: loss=nan
Test accuracy: 0.082
Train accuracy: 0.084
Epoch 36: loss=nan
Test accuracy: 0.086
Train accuracy: 0.082
Epoch 37: loss=nan
Test accuracy: 0.074
Train accuracy: 0.084
Epoch 38: loss=nan
Test accuracy: 0.078
Train accuracy: 0.081
Epoch 39: loss=nan
Test accuracy: 0.090
Train accuracy: 0.081
Epoch 40: loss=nan
Test accuracy: 0.090
Train accuracy: 0.082
