Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Out Length,Forward Energy,Backward Energy,Forward Time,Backward Time,Memory Power
2,32,3,28,FullyConnected,Crossbar,1.0,128,1.2341658734423936e-06, 3.023134757592026e-06,0.001040313480192, 0.0020704989245440004,0.01141126823
2,32,3,28,FullyConnected,PB-BMP,1.0,128,1.3150228782603136e-06, 3.664254094670426e-06,0.00104498586752, 0.0021045000240640004,0.01764757223
2,32,3,28,FullyConnected,PB-CSR,1.0,128,3.3187209693769862e-06, 6.151721125422151e-06,0.001876642583552, 0.0040250126391840006,0.21606597023000002
2,32,3,28,Convolution,PB-BMP,1.0,128,1.515559591608256e-07, 3.854662303256448e-07,0.009456115298047999, 0.015526919048704001,0.00015115287
2,32,3,28,Convolution,PB-CSR,1.0,128,1.24778911261792e-07, 5.89811403357376e-07,0.005208655307008001, 0.007813813073920001,0.0019884502900000003
2,32,3,28,Convolution,Func-RowCol,1.0,128,1.3421657901096323e-07, 3.098878354675584e-07,0.011499364030720001, 0.01975168486144,0.00010215264000000001
2,32,3,28,Convolution,Func-BMP,1.0,128,3.5259263217233285e-07, 5.038010586384256e-07,0.017465997711616003, 0.023198479822335995,0.00015115287
2,32,3,28,Convolution,Func-Pure,1.0,128,2.3760824017776002e-07, 3.038295713187712e-07,0.02070264595072, 0.01762773478144,0.00010215264000000001
3,32,3,28,FullyConnected,Crossbar,1.0,128,1.6611435489931136e-06, 3.981319079292506e-06,0.0007059119155200001, 0.0020855534305280004,0.016955710229999997
3,32,3,28,FullyConnected,PB-BMP,1.0,128,1.7419978785931136e-06, 4.622438416370906e-06,0.0007101491028480001, 0.0021195545300480003,0.023192014229999995
3,32,3,28,FullyConnected,PB-CSR,1.0,128,3.469519905727706e-06, 6.41382114259049e-06,0.001539142751232, 0.004024351974544001,0.22192838023
3,32,3,28,Convolution,PB-BMP,1.0,128,1.5560705487026561e-07, 4.0880793829774077e-07,0.009374999981312, 0.016562088095232,0.00016980399
3,32,3,28,Convolution,PB-CSR,1.0,128,1.28202756795232e-07, 6.159680644233088e-07,0.0051266327580160006, 0.009265349266944,0.00200920129
3,32,3,28,Convolution,Func-RowCol,1.0,128,1.382676747204032e-07, 3.3322954343965437e-07,0.011418248713984, 0.020786853907968,0.00012080376
3,32,3,28,Convolution,Func-BMP,1.0,128,3.466812163476928e-07, 5.25802403150528e-07,0.01576419759488, 0.023314424548864,0.00016980399
3,32,3,28,Convolution,Func-Pure,1.0,128,2.3169682435312e-07, 3.258309158308736e-07,0.019000845833984002, 0.017743679507968,0.00012080376
4,32,3,28,FullyConnected,Crossbar,1.0,128,1.3710041875639936e-06, 3.431027652142426e-06,0.00106200969728, 0.0015041763758080003,0.022773540229999997
4,32,3,28,FullyConnected,PB-BMP,1.0,128,1.4518611923819137e-06, 4.072145316142426e-06,0.001066682084608, 0.0015377742753280004,0.029009844229999998
4,32,3,28,FullyConnected,PB-CSR,1.0,128,3.612769053620186e-06, 6.65196285514695e-06,0.0018829591685120002, 0.0030905290091040004,0.22733984023
4,32,3,28,Convolution,PB-BMP,1.0,128,1.584256073784256e-07, 4.284689867884928e-07,0.009381915531008, 0.016576220634624002,0.00020860076
4,32,3,28,Convolution,PB-CSR,1.0,128,1.30925127556192e-07, 6.349704381364608e-07,0.004895012833024001, 0.007776304531968001,0.00202984429
4,32,3,28,Convolution,Func-RowCol,1.0,128,1.414141505949632e-07, 3.532185152968064e-07,0.011504191463680001, 0.020880013647360002,0.00015960053
4,32,3,28,Convolution,Func-BMP,1.0,128,3.5979020375633283e-07, 5.46121594001344e-07,0.017470825144576003, 0.023416615968256,0.00020860076
4,32,3,28,Convolution,Func-Pure,1.0,128,2.4480581176176e-07, 3.461501066816896e-07,0.02070747338368, 0.017845870927359998,0.00015960053
5,32,3,28,FullyConnected,Crossbar,1.0,128,1.6029404708183937e-06, 3.964956951256025e-06,0.001066876198016, 0.0021501865310720003,0.028306051510000003
5,32,3,28,FullyConnected,PB-BMP,1.0,128,1.6837974756363137e-06, 4.606076288334426e-06,0.0010715485853440001, 0.0021841876305920003,0.034542355510000004
5,32,3,28,FullyConnected,PB-CSR,1.0,128,3.753928590752987e-06, 6.897924154926151e-06,0.0018872081890560003, 0.0040461438501920004,0.23275959151
5,32,3,28,Convolution,PB-BMP,1.0,128,1.624147480248256e-07, 4.497626759586688e-07,0.009462161782015999, 0.016573189936640004,0.00022935176
5,32,3,28,Convolution,PB-CSR,1.0,128,1.35791464477792e-07, 6.658359412842369e-07,0.005212252173568001, 0.009275744153600001,0.00205039649
5,32,3,28,Convolution,Func-RowCol,1.0,128,1.4507536787496322e-07, 3.741842811005824e-07,0.011505410514688001, 0.020797955749376,0.00018035153
5,32,3,28,Convolution,Func-BMP,1.0,128,3.634514210363328e-07, 5.672814835237761e-07,0.017472044195584003, 0.023410825590271998,0.00022935176
5,32,3,28,Convolution,Func-Pure,1.0,128,2.4846702904176e-07, 3.673099962041216e-07,0.020708692434688, 0.017840080549375997,0.00018035153
6,32,3,28,FullyConnected,Crossbar,1.0,128,1.4238534013783936e-06, 3.7567061713520256e-06,0.001080214445568, 0.0021902007101440002,0.034466331929999997
6,32,3,28,FullyConnected,PB-BMP,1.0,128,1.5047104061963137e-06, 4.397825508430426e-06,0.0010848868328960002, 0.002224201809664,0.040702635929999995
6,32,3,28,FullyConnected,PB-CSR,1.0,128,3.895104894112987e-06, 7.139988925742151e-06,0.00189066487552, 0.0040530572231200004,0.23817933193
6,32,3,28,Convolution,PB-BMP,1.0,128,1.6621144050482561e-07, 4.715100357807488e-07,0.009463409057023999, 0.016660933126656,0.00024999476
6,32,3,28,Convolution,PB-CSR,1.0,128,1.69536078877792e-07, 7.144405821303168e-07,0.0052108768744960005, 0.009356866896384,0.00205274089
6,32,3,28,Convolution,Func-RowCol,1.0,128,1.4887206035496323e-07, 3.959316409226624e-07,0.011506657789696001, 0.020885698939392,0.00020099453
6,32,3,28,Convolution,Func-BMP,1.0,128,3.6724811351633286e-07, 5.890288433458561e-07,0.017473291470592005, 0.023498568780288,0.00024999476
6,32,3,28,Convolution,Func-Pure,1.0,128,2.5226372152176e-07, 3.890573560262016e-07,0.020709939709696003, 0.017927823739391998,0.00020099453
7,32,3,28,FullyConnected,Crossbar,1.0,128,1.5423225884503935e-06, 4.028182171608025e-06,0.0010827289242880001, 0.0021977445890560003,0.0401222277
7,32,3,28,FullyConnected,PB-BMP,1.0,128,1.6231795932683135e-06, 4.669301508686426e-06,0.0010874013116160001, 0.0022317456885760003,0.0463585317
7,32,3,28,FullyConnected,PB-CSR,1.0,128,4.048044993184986e-06, 7.40222953143815e-06,0.0018944256257280002, 0.004060578723536001,0.24406065770000002
7,32,3,28,Convolution,PB-BMP,1.0,128,1.6976608396082563e-07, 4.922101991722368e-07,0.009464539597568, 0.016586174047744,0.00027054696
7,32,3,28,Convolution,PB-CSR,1.0,128,1.7307717481379204e-07, 7.310277184498049e-07,0.005211596925184001, 0.009282006888448,0.00207205009
7,32,3,28,Convolution,Func-RowCol,1.0,128,1.5242670381096321e-07, 4.1695972768055043e-07,0.011507788330240002, 0.020889967060480002,0.00022154673
7,32,3,28,Convolution,Func-BMP,1.0,128,3.708027569723328e-07, 6.10056930103744e-07,0.017474422011136, 0.023502836901376,0.00027054696
7,32,3,28,Convolution,Func-Pure,1.0,128,2.5581836497776006e-07, 4.1008544278408964e-07,0.020711070250240004, 0.01793209186048,0.00022154673
8,32,3,28,FullyConnected,Crossbar,1.0,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,32,3,28,FullyConnected,PB-BMP,1.0,128,1.7369565714443136e-06, 4.930063427022426e-06,0.001089859481856, 0.0022391181442560004,0.05178681029999999
8,32,3,28,FullyConnected,PB-CSR,1.0,128,4.189218067360985e-06, 7.644297879214149e-06,0.0018979159162880001, 0.004067559304656,0.2494889463
8,32,3,28,Convolution,PB-BMP,1.0,128,2.035106983608256e-07, 5.071683239845248e-07,0.009463164298496, 0.0166647085696,0.00027289136
8,32,3,28,Convolution,PB-CSR,1.0,128,1.7583748201379204e-07, 7.446870876780928e-07,0.0052121033766400005, 0.009364811362816,0.00208747059
8,32,3,28,Convolution,Func-RowCol,1.0,128,1.861713182109632e-07, 4.3158992912643843e-07,0.011506413031168002, 0.020889474382336,0.00022389113
8,32,3,28,Convolution,Func-BMP,1.0,128,4.0454737137233276e-07, 6.24687131549632e-07,0.017473046712064004, 0.023502344223232,0.00027289136
8,32,3,28,Convolution,Func-Pure,1.0,128,2.8956297937776003e-07, 4.2471564422997763e-07,0.020709694951168003, 0.017931599182336,0.00022389113
9,32,3,28,FullyConnected,Crossbar,1.0,128,1.7746563247703935e-06, 4.560691570136026e-06,0.001087787004288, 0.0022129164828160004,0.0511966503
9,32,3,28,FullyConnected,PB-BMP,1.0,128,1.8555133295883135e-06, 5.201810907214426e-06,0.001092459391616, 0.0022469175823360004,0.0574329543
9,32,3,28,FullyConnected,PB-CSR,1.0,128,4.330414236704986e-06, 7.88640238212615e-06,0.0019014184922880003, 0.0040745644566560005,0.2549096603
9,32,3,28,Convolution,PB-BMP,1.0,128,2.070517942968256e-07, 5.205499257007487e-07,0.009463884349184, 0.016668155710976,0.00029220056
9,32,3,28,Convolution,PB-CSR,1.0,128,1.79518343197792e-07, 7.620290810743169e-07,0.005212857747712001, 0.009369081516032001,0.0021067170899999998
9,32,3,28,Convolution,Func-RowCol,1.0,128,1.8971241414696323e-07, 4.449715308426624e-07,0.011507133081856002, 0.020892921523712003,0.00024320032999999998
9,32,3,28,Convolution,Func-BMP,1.0,128,4.080884673083328e-07, 6.380687332658561e-07,0.017473766762752002, 0.023505791364608,0.00029220056
9,32,3,28,Convolution,Func-Pure,1.0,128,2.9310407531376e-07, 4.380972459462016e-07,0.020710415001856, 0.017935046323712,0.00024320032999999998
10,32,3,28,FullyConnected,Crossbar,1.0,128,1.8885066194263936e-06, 4.821662339800026e-06,0.001090320724608, 0.002220517309696,0.0566173481
10,32,3,28,FullyConnected,PB-BMP,1.0,128,1.969363624244314e-06, 5.462781676878426e-06,0.0010949931119360002, 0.002254518409216,0.0628536521
10,32,3,28,FullyConnected,PB-CSR,1.0,128,4.4716104513609855e-06, 8.128506975790148e-06,0.0019049371674880002, 0.004081601807056001,0.2603300581
10,32,3,28,Convolution,PB-BMP,1.0,128,2.098121014968256e-07, 5.311248266845567e-07,0.00946439080064, 0.016671175653888,0.00030762106000000003
10,32,3,28,Convolution,PB-CSR,1.0,128,1.8227436034979201e-07, 7.753511933221249e-07,0.005213360360704001, 0.009372596395008,0.00212209199
10,32,3,28,Convolution,Func-RowCol,1.0,128,1.9247272134696322e-07, 4.5554643182647037e-07,0.011507639533312002, 0.020895941466624005,0.00025862083000000003
10,32,3,28,Convolution,Func-BMP,1.0,128,4.108487745083328e-07, 6.48119291537344e-07,0.017474273214208004, 0.023423512107520004,0.00030762106000000003
10,32,3,28,Convolution,Func-Pure,1.0,128,2.9586438251376007e-07, 4.481478042176896e-07,0.020710921453312003, 0.017852767066624,0.00025862083000000003
11,32,3,28,FullyConnected,Crossbar,1.0,128,2.0518504699223935e-06, 5.223326512216025e-06,0.0010933660911360001, 0.0022296531238400006,0.06197892199999999
11,32,3,28,FullyConnected,PB-BMP,1.0,128,2.1327074747403137e-06, 5.864445849294425e-06,0.0010980384784640002, 0.0022636542233600006,0.068215226
11,32,3,28,FullyConnected,PB-CSR,1.0,128,4.705612145056986e-06, 8.552870770606149e-06,0.0019096299124480001, 0.004090987296976,0.266363552
11,32,3,28,Convolution,PB-BMP,1.0,128,2.134929626808256e-07, 5.447919901523328e-07,0.009465145171712, 0.016674691436032,0.00032686756
11,32,3,28,Convolution,PB-CSR,1.0,128,1.8571678518179202e-07, 7.919841347099008e-07,0.005213991223552001, 0.009376496023552,0.00214128569
11,32,3,28,Convolution,Func-RowCol,1.0,128,1.961535825309632e-07, 4.692135952942464e-07,0.011508393904384002, 0.020899457248768,0.00027786733
11,32,3,28,Convolution,Func-BMP,1.0,128,4.1452963569233275e-07, 6.6231079771744e-07,0.017475027585280002, 0.023512327089663998,0.00032686756
11,32,3,28,Convolution,Func-Pure,1.0,128,2.9954524369776e-07, 4.623393103977856e-07,0.020711675824384, 0.017941582048768,0.00027786733
