Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:53: UserWarning: train_data has been renamed data
  warnings.warn("train_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:58: UserWarning: test_data has been renamed data
  warnings.warn("test_data has been renamed data")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:43: UserWarning: train_labels has been renamed targets
  warnings.warn("train_labels has been renamed targets")
/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torchvision/datasets/mnist.py:48: UserWarning: test_labels has been renamed targets
  warnings.warn("test_labels has been renamed targets")
init done
{'quantization.global_wb': 5, 'inp_mult': 167.74085539983045, 'nb_hidden': 2797, 'nb_steps': 80, 'batch_size': 330, 'quantization.global_lr': 0.001195520799436927, 'reg_size': 0.0019244314084435308, 'mult_eq': 0.07695369138949376, 'class_method': 'integrate'}
Epoch 1: loss=4.62881
Test accuracy: 0.848
Train accuracy: 0.630
Epoch 2: loss=1.35255
Test accuracy: 0.858
Train accuracy: 0.841
Epoch 3: loss=1.40608
Test accuracy: 0.864
Train accuracy: 0.845
Epoch 4: loss=1.48111
Test accuracy: 0.855
Train accuracy: 0.848
Epoch 5: loss=1.56565
Test accuracy: 0.858
Train accuracy: 0.849
Epoch 6: loss=1.60949
Test accuracy: 0.860
Train accuracy: 0.848
Epoch 7: loss=1.70791
Test accuracy: 0.864
Train accuracy: 0.850
Epoch 8: loss=1.73985
Test accuracy: 0.859
Train accuracy: 0.851
Epoch 9: loss=1.80865
Test accuracy: 0.860
Train accuracy: 0.848
Epoch 10: loss=1.76777
Test accuracy: 0.880
Train accuracy: 0.868
Epoch 11: loss=1.70430
Test accuracy: 0.884
Train accuracy: 0.875
Epoch 12: loss=1.67723
Test accuracy: 0.879
Train accuracy: 0.876
Epoch 13: loss=1.65859
Test accuracy: 0.882
Train accuracy: 0.876
Epoch 14: loss=1.64477
Test accuracy: 0.881
Train accuracy: 0.876
Epoch 15: loss=1.64124
Test accuracy: 0.879
Train accuracy: 0.877
Epoch 16: loss=1.63568
Test accuracy: 0.882
Train accuracy: 0.878
Epoch 17: loss=1.63592
Test accuracy: 0.886
Train accuracy: 0.876
Epoch 18: loss=1.63697
Test accuracy: 0.887
Train accuracy: 0.877
Epoch 19: loss=1.62906
Test accuracy: 0.887
Train accuracy: 0.879
Epoch 20: loss=1.62592
Test accuracy: 0.885
Train accuracy: 0.880
Epoch 21: loss=1.62555
Test accuracy: 0.886
Train accuracy: 0.880
Epoch 22: loss=1.62530
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 23: loss=1.62503
Test accuracy: 0.885
Train accuracy: 0.880
Epoch 24: loss=1.62415
Test accuracy: 0.885
Train accuracy: 0.881
Epoch 25: loss=1.62396
Test accuracy: 0.885
Train accuracy: 0.881
Epoch 26: loss=1.62399
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 27: loss=1.62451
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 28: loss=1.62334
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 29: loss=1.62304
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 30: loss=1.62286
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 31: loss=1.62296
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 32: loss=1.62329
Test accuracy: 0.887
Train accuracy: 0.881
Epoch 33: loss=1.62304
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 34: loss=1.62289
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 35: loss=1.62289
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 36: loss=1.62308
Test accuracy: 0.887
Train accuracy: 0.882
Epoch 37: loss=1.62265
Test accuracy: 0.887
Train accuracy: 0.882
Epoch 38: loss=1.62252
Test accuracy: 0.887
Train accuracy: 0.882
Epoch 39: loss=1.62217
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 40: loss=1.62243
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 41: loss=1.62283
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 42: loss=1.62243
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 43: loss=1.62214
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 44: loss=1.62253
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 45: loss=1.62258
Test accuracy: 0.886
Train accuracy: 0.881
Epoch 46: loss=1.62241
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 47: loss=1.62260
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 48: loss=1.62259
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 49: loss=1.62257
Test accuracy: 0.886
Train accuracy: 0.882
Epoch 50: loss=1.62236
Test accuracy: 0.886
Train accuracy: 0.882
{'quantization.global_wb': 5, 'inp_mult': 167.74085539983045, 'reg_size': 0.0019244314084435308}
